Tid	Kanal A
(s)	(V)

0.00000000	1.59356500
0.00010000	1.59356500
0.00020000	1.59356500
0.00030000	1.59356500
0.00040000	1.59356500
0.00050000	1.59356500
0.00060000	1.49975400
0.00070000	1.49975400
0.00080000	1.40625000
0.00090000	1.40625000
0.00100000	1.40625000
0.00110000	1.31243800
0.00120000	1.31243800
0.00130000	1.31243800
0.00140000	1.21862700
0.00150000	1.12481500
0.00160000	1.12481500
0.00170000	1.12481500
0.00180000	1.12481500
0.00190000	1.03100400
0.00200000	1.03100400
0.00210000	1.03100400
0.00220000	1.03100400
0.00230000	1.03100400
0.00240000	1.03100400
0.00250000	1.03100400
0.00260000	1.12481500
0.00270000	1.12481500
0.00280000	1.12481500
0.00290000	1.12481500
0.00300000	1.21862700
0.00310000	1.21862700
0.00320000	1.31243800
0.00330000	1.31243800
0.00340000	1.31243800
0.00350000	1.40625000
0.00360000	1.40625000
0.00370000	1.40625000
0.00380000	1.49975400
0.00390000	1.49975400
0.00400000	1.49975400
0.00410000	1.59356500
0.00420000	1.49975400
0.00430000	1.49975400
0.00440000	1.59356500
0.00450000	1.59356500
0.00460000	1.59356500
0.00470000	1.59356500
0.00480000	1.59356500
0.00490000	1.49975400
0.00500000	1.49975400
0.00510000	1.49975400
0.00520000	1.40625000
0.00530000	1.40625000
0.00540000	1.31243800
0.00550000	1.31243800
0.00560000	1.31243800
0.00570000	1.21862700
0.00580000	1.21862700
0.00590000	1.21862700
0.00600000	1.21862700
0.00610000	1.21862700
0.00620000	1.21862700
0.00630000	1.21862700
0.00640000	1.21862700
0.00650000	1.21862700
0.00660000	1.21862700
0.00670000	1.21862700
0.00680000	1.21862700
0.00690000	1.21862700
0.00700000	1.21862700
0.00710000	1.21862700
0.00720000	1.31243800
0.00730000	1.31243800
0.00740000	1.31243800
0.00750000	1.31243800
0.00760000	1.40625000
0.00770000	1.40625000
0.00780000	1.40625000
0.00790000	1.40625000
0.00800000	1.40625000
0.00810000	1.49975400
0.00820000	1.49975400
0.00830000	1.49975400
0.00840000	1.49975400
0.00850000	1.49975400
0.00860000	1.49975400
0.00870000	1.49975400
0.00880000	1.49975400
0.00890000	1.49975400
0.00900000	1.40625000
0.00910000	1.40625000
0.00920000	1.40625000
0.00930000	1.40625000
0.00940000	1.40625000
0.00950000	1.31243800
0.00960000	1.31243800
0.00970000	1.31243800
0.00980000	1.31243800
0.00990000	1.31243800
0.01000000	1.31243800
0.01010000	1.31243800
0.01020000	1.31243800
0.01030000	1.31243800
0.01040000	1.31243800
0.01050000	1.31243800
0.01060000	1.31243800
0.01070000	1.31243800
0.01080000	1.31243800
0.01090000	1.40625000
0.01100000	1.31243800
0.01110000	1.40625000
0.01120000	1.40625000
0.01130000	1.40625000
0.01140000	1.40625000
0.01150000	1.40625000
0.01160000	1.40625000
0.01170000	1.40625000
0.01180000	1.40625000
0.01190000	1.40625000
0.01200000	1.40625000
0.01210000	1.40625000
0.01220000	1.40625000
0.01230000	1.40625000
0.01240000	1.40625000
0.01250000	1.31243800
0.01260000	1.31243800
0.01270000	1.31243800
0.01280000	1.31243800
0.01290000	1.31243800
0.01300000	1.21862700
0.01310000	1.21862700
0.01320000	1.21862700
0.01330000	1.12481500
0.01340000	1.21862700
0.01350000	1.12481500
0.01360000	1.12481500
0.01370000	1.12481500
0.01380000	1.21862700
0.01390000	1.12481500
0.01400000	1.12481500
0.01410000	1.12481500
0.01420000	1.21862700
0.01430000	1.21862700
0.01440000	1.21862700
0.01450000	1.21862700
0.01460000	1.21862700
0.01470000	1.21862700
0.01480000	1.21862700
0.01490000	1.21862700
0.01500000	1.31243800
0.01510000	1.31243800
0.01520000	1.31243800
0.01530000	1.31243800
0.01540000	1.31243800
0.01550000	1.31243800
0.01560000	1.31243800
0.01570000	1.31243800
0.01580000	1.31243800
0.01590000	1.21862700
0.01600000	1.31243800
0.01610000	1.21862700
0.01620000	1.21862700
0.01630000	1.21862700
0.01640000	1.21862700
0.01650000	1.21862700
0.01660000	1.21862700
0.01670000	1.12481500
0.01680000	1.12481500
0.01690000	1.12481500
0.01700000	1.12481500
0.01710000	1.12481500
0.01720000	1.12481500
0.01730000	1.12481500
0.01740000	1.12481500
0.01750000	1.12481500
