Absorbance: 0.08		
187.923	-0	
188.387	-0	
188.851	-0	
189.315	-2.59	
189.779	-1.6	
190.242	-1.6	
190.706	-2.59	
191.17	-0	
191.633	-0	
192.097	-0	
192.56	-1.42	
193.024	-0	
193.487	-0	
193.951	-0	
194.414	-0	
194.877	-1.76	
195.34	-1.84	
195.803	-0	
196.266	-0	
196.73	-1.75	
197.193	-2.31	
197.656	-1.35	
198.118	-0	
198.581	-1.07	
199.044	-0.57	
199.507	-0.55	
199.97	-0.47	
200.432	-0.49	
200.895	-0.53	
201.358	-0.5	
201.82	-0.53	
202.283	-0.5	
202.745	-0.51	
203.207	-0.48	
203.67	-0.51	
204.132	-0.54	
204.594	-0.53	
205.056	-0.48	
205.519	-0.5	
205.981	-0.57	
206.443	-0.53	
206.905	-0.5	
207.367	-0.51	
207.829	-0.46	
208.291	-0.53	
208.752	-0.59	
209.214	-0.51	
209.676	-0.48	
210.138	-0.47	
210.599	-0.47	
211.061	-0.51	
211.522	-0.47	
211.984	-0.52	
212.445	-0.49	
212.907	-0.57	
213.368	-0.48	
213.829	-0.48	
214.291	-0.46	
214.752	-0.47	
215.213	-0.39	
215.674	-0.39	
216.135	-0.33	
216.596	-0.29	
217.057	-0.25	
217.518	-0.25	
217.979	-0.21	
218.44	-0.15	
218.9	-0.09	
219.361	-0.04	
219.822	0.01	
220.282	0.04	
220.743	0.07	
221.204	0.09	
221.664	0.13	
222.125	0.16	
222.585	0.19	
223.045	0.28	
223.506	0.28	
223.966	0.26	
224.426	0.32	
224.886	0.35	
225.346	0.35	
225.806	0.39	
226.266	0.38	
226.726	0.4	
227.186	0.42	
227.646	0.45	
228.106	0.43	
228.566	0.45	
229.025	0.45	
229.485	0.45	
229.945	0.47	
230.404	0.48	
230.864	0.48	
231.323	0.46	
231.783	0.48	
232.242	0.5	
232.702	0.48	
233.161	0.51	
233.62	0.5	
234.079	0.5	
234.538	0.51	
234.998	0.51	
235.457	0.49	
235.916	0.54	
236.375	0.56	
236.834	0.54	
237.292	0.54	
237.751	0.56	
238.21	0.56	
238.669	0.56	
239.127	0.57	
239.586	0.56	
240.045	0.58	
240.503	0.59	
240.962	0.57	
241.42	0.59	
241.878	0.58	
242.337	0.6	
242.795	0.59	
243.253	0.61	
243.712	0.62	
244.17	0.64	
244.628	0.63	
245.086	0.62	
245.544	0.61	
246.002	0.61	
246.46	0.64	
246.918	0.64	
247.375	0.65	
247.833	0.68	
248.291	0.65	
248.749	0.67	
249.206	0.67	
249.664	0.66	
250.121	0.68	
250.579	0.67	
251.036	0.68	
251.494	0.67	
251.951	0.7	
252.408	0.73	
252.866	0.73	
253.323	0.74	
253.78	0.76	
254.237	0.75	
254.694	0.77	
255.151	0.75	
255.608	0.74	
256.065	0.75	
256.522	0.72	
256.979	0.74	
257.435	0.78	
257.892	0.76	
258.349	0.79	
258.805	0.78	
259.262	0.78	
259.718	0.77	
260.175	0.79	
260.631	0.8	
261.088	0.79	
261.544	0.79	
262	0.8	
262.457	0.81	
262.913	0.8	
263.369	0.8	
263.825	0.8	
264.281	0.84	
264.737	0.83	
265.193	0.85	
265.649	0.81	
266.105	0.83	
266.561	0.8	
267.016	0.82	
267.472	0.82	
267.928	0.8	
268.383	0.79	
268.839	0.79	
269.294	0.8	
269.75	0.84	
270.205	0.81	
270.661	0.81	
271.116	0.81	
271.571	0.83	
272.026	0.83	
272.482	0.83	
272.937	0.82	
273.392	0.81	
273.847	0.83	
274.302	0.8	
274.757	0.8	
275.212	0.81	
275.666	0.81	
276.121	0.81	
276.576	0.85	
277.031	0.81	
277.485	0.83	
277.94	0.81	
278.395	0.82	
278.849	0.84	
279.303	0.83	
279.758	0.81	
280.212	0.82	
280.667	0.83	
281.121	0.83	
281.575	0.82	
282.029	0.82	
282.483	0.82	
282.937	0.79	
283.391	0.81	
283.845	0.82	
284.299	0.78	
284.753	0.76	
285.207	0.81	
285.661	0.77	
286.115	0.75	
286.568	0.74	
287.022	0.74	
287.475	0.73	
287.929	0.73	
288.383	0.72	
288.836	0.7	
289.289	0.69	
289.743	0.69	
290.196	0.66	
290.649	0.66	
291.102	0.63	
291.556	0.61	
292.009	0.58	
292.462	0.59	
292.915	0.58	
293.368	0.55	
293.821	0.53	
294.274	0.5	
294.726	0.5	
295.179	0.48	
295.632	0.47	
296.084	0.44	
296.537	0.42	
296.99	0.41	
297.442	0.4	
297.895	0.37	
298.347	0.36	
298.8	0.32	
299.252	0.34	
299.704	0.31	
300.156	0.3	
300.609	0.29	
301.061	0.28	
301.513	0.26	
301.965	0.24	
302.417	0.24	
302.869	0.22	
303.321	0.22	
303.773	0.2	
304.224	0.18	
304.676	0.17	
305.128	0.18	
305.579	0.15	
306.031	0.13	
306.483	0.14	
306.934	0.13	
307.386	0.12	
307.837	0.11	
308.288	0.1	
308.74	0.1	
309.191	0.09	
309.642	0.07	
310.093	0.08	
310.544	0.06	
310.996	0.07	
311.447	0.05	
311.898	0.05	
312.348	0.04	
312.799	0.04	
313.25	0.02	
313.701	0.03	
314.152	0.01	
314.602	0.02	
315.053	0.01	
315.504	0	
315.954	0.01	
316.405	-0	
316.855	-0.01	
317.305	-0.02	
317.756	0	
318.206	-0.01	
318.656	-0.02	
319.107	-0.02	
319.557	-0.02	
320.007	-0.03	
320.457	-0.03	
320.907	-0.03	
321.357	-0.03	
321.807	-0.04	
322.257	-0.05	
322.706	-0.04	
323.156	-0.04	
323.606	-0.05	
324.056	-0.05	
324.505	-0.04	
324.955	-0.04	
325.404	-0.06	
325.854	-0.05	
326.303	-0.05	
326.753	-0.05	
327.202	-0.05	
327.651	-0.06	
328.1	-0.07	
328.55	-0.07	
328.999	-0.09	
329.448	-0.08	
329.897	-0.07	
330.346	-0.09	
330.795	-0.08	
331.244	-0.07	
331.693	-0.07	
332.141	-0.07	
332.59	-0.07	
333.039	-0.06	
333.487	-0.08	
333.936	-0.09	
334.385	-0.07	
334.833	-0.07	
335.282	-0.07	
335.73	-0.06	
336.178	-0.08	
336.627	-0.07	
337.075	-0.08	
337.523	-0.09	
337.971	-0.08	
338.419	-0.07	
338.867	-0.08	
339.315	-0.09	
339.763	-0.08	
340.211	-0.08	
340.659	-0.08	
341.107	-0.09	
341.555	-0.08	
342.002	-0.08	
342.45	-0.08	
342.898	-0.09	
343.345	-0.08	
343.793	-0.1	
344.24	-0.08	
344.688	-0.09	
345.135	-0.08	
345.582	-0.09	
346.03	-0.09	
346.477	-0.08	
346.924	-0.09	
347.371	-0.09	
347.818	-0.08	
348.265	-0.08	
348.712	-0.09	
349.159	-0.09	
349.606	-0.09	
350.053	-0.09	
350.5	-0.09	
350.947	-0.09	
351.393	-0.1	
351.84	-0.09	
352.287	-0.1	
352.733	-0.11	
353.18	-0.09	
353.626	-0.1	
354.072	-0.1	
354.519	-0.08	
354.965	-0.1	
355.411	-0.1	
355.858	-0.09	
356.304	-0.1	
356.75	-0.09	
357.196	-0.1	
357.642	-0.1	
358.088	-0.11	
358.534	-0.09	
358.98	-0.1	
359.425	-0.1	
359.871	-0.1	
360.317	-0.1	
360.763	-0.1	
361.208	-0.09	
361.654	-0.08	
362.099	-0.1	
362.545	-0.1	
362.99	-0.09	
363.436	-0.1	
363.881	-0.09	
364.326	-0.08	
364.771	-0.09	
365.217	-0.1	
365.662	-0.09	
366.107	-0.09	
366.552	-0.09	
366.997	-0.09	
367.442	-0.09	
367.887	-0.09	
368.332	-0.09	
368.776	-0.09	
369.221	-0.11	
369.666	-0.09	
370.11	-0.1	
370.555	-0.1	
371	-0.09	
371.444	-0.1	
371.888	-0.1	
372.333	-0.1	
372.777	-0.1	
373.221	-0.09	
373.666	-0.09	
374.11	-0.09	
374.554	-0.08	
374.998	-0.1	
375.442	-0.1	
375.886	-0.09	
376.33	-0.09	
376.774	-0.09	
377.218	-0.08	
377.662	-0.09	
378.106	-0.09	
378.549	-0.09	
378.993	-0.09	
379.436	-0.08	
379.88	-0.09	
380.324	-0.09	
380.767	-0.09	
381.21	-0.1	
381.654	-0.09	
382.097	-0.09	
382.54	-0.08	
382.984	-0.09	
383.427	-0.1	
383.87	-0.09	
384.313	-0.09	
384.756	-0.09	
385.199	-0.09	
385.642	-0.09	
386.085	-0.1	
386.528	-0.08	
386.97	-0.09	
387.413	-0.08	
387.856	-0.08	
388.298	-0.09	
388.741	-0.09	
389.183	-0.09	
