Tid	Kanal A
(s)	(mV)

0.02750000	14.87758000
0.02760000	15.80647000
0.02770000	14.87758000
0.02780000	15.80647000
0.02790000	14.87758000
0.02800000	15.80647000
0.02810000	15.80647000
0.02820000	15.80647000
0.02830000	14.87758000
0.02840000	14.87758000
0.02850000	14.87758000
0.02860000	15.80647000
0.02870000	15.80647000
0.02880000	14.87758000
0.02890000	15.80647000
0.02900000	14.87758000
0.02910000	14.87758000
0.02920000	14.87758000
0.02930000	15.80647000
0.02940000	15.80647000
0.02950000	14.87758000
0.02960000	14.87758000
0.02970000	15.80647000
0.02980000	14.87758000
0.02990000	15.80647000
0.03000000	14.87758000
0.03010000	14.87758000
0.03020000	14.87758000
0.03030000	14.87758000
0.03040000	14.87758000
0.03050000	14.87758000
0.03060000	14.87758000
0.03070000	15.80647000
0.03080000	15.80647000
0.03090000	15.80647000
0.03100000	14.87758000
0.03110000	15.80647000
0.03120000	15.80647000
0.03130000	15.80647000
0.03140000	14.87758000
0.03150000	15.80647000
0.03160000	15.80647000
0.03170000	14.87758000
0.03180000	14.87758000
0.03190000	15.80647000
0.03200000	14.87758000
0.03210000	14.87758000
0.03220000	14.87758000
0.03230000	15.80647000
0.03240000	14.87758000
0.03250000	14.87758000
0.03260000	15.80647000
0.03270000	14.87758000
0.03280000	15.80647000
0.03290000	15.80647000
0.03300000	14.87758000
0.03310000	15.80647000
0.03320000	14.87758000
0.03330000	14.87758000
0.03340000	15.80647000
0.03350000	15.80647000
0.03360000	15.80647000
0.03370000	15.80647000
0.03380000	15.80647000
0.03390000	15.80647000
0.03400000	14.87758000
0.03410000	14.87758000
0.03420000	14.87758000
0.03430000	14.87758000
0.03440000	14.87758000
0.03450000	15.80647000
0.03460000	14.87758000
0.03470000	15.80647000
0.03480000	15.80647000
0.03490000	15.80647000
0.03500000	14.87758000
0.03510000	14.87758000
0.03520000	15.80647000
0.03530000	15.80647000
0.03540000	15.80647000
0.03550000	14.87758000
0.03560000	15.80647000
0.03570000	14.87758000
0.03580000	15.80647000
0.03590000	14.87758000
0.03600000	14.87758000
0.03610000	15.80647000
0.03620000	14.87758000
0.03630000	14.87758000
0.03640000	15.80647000
0.03650000	15.80647000
0.03660000	15.80647000
0.03670000	15.80647000
0.03680000	15.80647000
0.03690000	14.87758000
0.03700000	14.87758000
0.03710000	14.87758000
0.03720000	15.80647000
0.03730000	14.87758000
0.03740000	15.80647000
0.03750000	14.87758000
0.03760000	15.80647000
0.03770000	15.80647000
0.03780000	14.87758000
0.03790000	15.80647000
0.03800000	14.87758000
0.03810000	15.80647000
0.03820000	15.80647000
0.03830000	15.80647000
0.03840000	14.87758000
0.03850000	14.87758000
0.03860000	15.80647000
0.03870000	14.87758000
0.03880000	14.87758000
0.03890000	14.87758000
0.03900000	14.87758000
0.03910000	14.87758000
0.03920000	14.87758000
0.03930000	14.87758000
0.03940000	14.87758000
0.03950000	14.87758000
0.03960000	14.87758000
0.03970000	14.87758000
0.03980000	14.87758000
0.03990000	14.87758000
0.04000000	14.87758000
0.04010000	14.87758000
0.04020000	14.87758000
0.04030000	14.87758000
0.04040000	14.87758000
0.04050000	14.87758000
0.04060000	14.87758000
0.04070000	14.87758000
0.04080000	14.87758000
0.04090000	14.87758000
0.04100000	14.87758000
0.04110000	14.87758000
0.04120000	14.87758000
0.04130000	14.87758000
0.04140000	14.87758000
0.04150000	14.87758000
0.04160000	14.87758000
0.04170000	14.87758000
0.04180000	14.87758000
0.04190000	14.87758000
0.04200000	14.87758000
0.04210000	14.87758000
0.04220000	14.87758000
0.04230000	14.87758000
0.04240000	14.87758000
0.04250000	14.87758000
0.04260000	14.87758000
0.04270000	14.87758000
0.04280000	14.87758000
0.04290000	14.87758000
0.04300000	14.87758000
0.04310000	14.87758000
0.04320000	14.87758000
0.04330000	14.87758000
0.04340000	14.87758000
0.04350000	14.87758000
0.04360000	14.87758000
0.04370000	14.87758000
0.04380000	14.87758000
0.04390000	14.87758000
0.04400000	14.87758000
0.04410000	14.87758000
0.04420000	14.87758000
0.04430000	14.87758000
0.04440000	14.87758000
0.04450000	14.87758000
0.04460000	14.87758000
0.04470000	14.87758000
0.04480000	14.87758000
0.04490000	13.94562000
0.04500000	14.87758000
0.04510000	14.87758000
0.04520000	14.87758000
0.04530000	14.87758000
0.04540000	14.87758000
0.04550000	14.87758000
0.04560000	14.87758000
0.04570000	14.87758000
0.04580000	14.87758000
0.04590000	14.87758000
0.04600000	14.87758000
0.04610000	14.87758000
0.04620000	14.87758000
0.04630000	14.87758000
0.04640000	14.87758000
0.04650000	14.87758000
0.04660000	14.87758000
0.04670000	14.87758000
0.04680000	14.87758000
0.04690000	14.87758000
0.04700000	14.87758000
0.04710000	14.87758000
0.04720000	14.87758000
0.04730000	14.87758000
0.04740000	14.87758000
0.04750000	14.87758000
0.04760000	14.87758000
0.04770000	14.87758000
0.04780000	14.87758000
0.04790000	14.87758000
0.04800000	14.87758000
0.04810000	14.87758000
0.04820000	14.87758000
0.04830000	14.87758000
0.04840000	14.87758000
0.04850000	14.87758000
0.04860000	14.87758000
0.04870000	14.87758000
0.04880000	14.87758000
0.04890000	14.87758000
0.04900000	14.87758000
0.04910000	15.80647000
0.04920000	14.87758000
0.04930000	14.87758000
0.04940000	14.87758000
0.04950000	14.87758000
0.04960000	14.87758000
0.04970000	14.87758000
0.04980000	14.87758000
0.04990000	14.87758000
0.05000000	14.87758000
0.05010000	14.87758000
0.05020000	14.87758000
0.05030000	14.87758000
0.05040000	14.87758000
0.05050000	14.87758000
0.05060000	14.87758000
0.05070000	14.87758000
0.05080000	14.87758000
0.05090000	14.87758000
0.05100000	14.87758000
0.05110000	14.87758000
0.05120000	14.87758000
0.05130000	14.87758000
0.05140000	14.87758000
0.05150000	14.87758000
0.05160000	14.87758000
0.05170000	14.87758000
0.05180000	14.87758000
0.05190000	14.87758000
0.05200000	14.87758000
0.05210000	14.87758000
0.05220000	14.87758000
0.05230000	14.87758000
0.05240000	14.87758000
0.05250000	14.87758000
0.05260000	14.87758000
0.05270000	14.87758000
0.05280000	14.87758000
0.05290000	14.87758000
0.05300000	14.87758000
0.05310000	14.87758000
0.05320000	14.87758000
0.05330000	14.87758000
0.05340000	14.87758000
0.05350000	14.87758000
0.05360000	15.80647000
0.05370000	14.87758000
0.05380000	14.87758000
0.05390000	14.87758000
0.05400000	14.87758000
0.05410000	14.87758000
0.05420000	14.87758000
0.05430000	14.87758000
0.05440000	14.87758000
0.05450000	14.87758000
0.05460000	14.87758000
0.05470000	14.87758000
0.05480000	14.87758000
0.05490000	14.87758000
0.05500000	14.87758000
0.05510000	14.87758000
0.05520000	14.87758000
0.05530000	14.87758000
0.05540000	14.87758000
0.05550000	14.87758000
0.05560000	14.87758000
0.05570000	14.87758000
0.05580000	14.87758000
0.05590000	14.87758000
0.05600000	14.87758000
0.05610000	14.87758000
0.05620000	14.87758000
0.05630000	14.87758000
0.05640000	14.87758000
0.05650000	14.87758000
0.05660000	14.87758000
0.05670000	14.87758000
0.05680000	14.87758000
0.05690000	14.87758000
0.05700000	14.87758000
0.05710000	14.87758000
0.05720000	14.87758000
0.05730000	14.87758000
0.05740000	14.87758000
0.05750000	14.87758000
0.05760000	14.87758000
0.05770000	14.87758000
0.05780000	14.87758000
0.05790000	14.87758000
0.05800000	14.87758000
0.05810000	14.87758000
0.05820000	14.87758000
0.05830000	14.87758000
0.05840000	14.87758000
0.05850000	14.87758000
0.05860000	14.87758000
0.05870000	14.87758000
0.05880000	14.87758000
0.05890000	14.87758000
0.05900000	14.87758000
0.05910000	15.80647000
0.05920000	14.87758000
0.05930000	15.80647000
0.05940000	14.87758000
0.05950000	14.87758000
0.05960000	14.87758000
0.05970000	14.87758000
0.05980000	14.87758000
0.05990000	15.80647000
0.06000000	15.80647000
0.06010000	14.87758000
0.06020000	14.87758000
0.06030000	14.87758000
0.06040000	15.80647000
0.06050000	14.87758000
0.06060000	14.87758000
0.06070000	14.87758000
0.06080000	14.87758000
0.06090000	14.87758000
0.06100000	14.87758000
0.06110000	14.87758000
0.06120000	14.87758000
0.06130000	14.87758000
0.06140000	14.87758000
0.06150000	14.87758000
0.06160000	14.87758000
0.06170000	14.87758000
0.06180000	14.87758000
0.06190000	14.87758000
0.06200000	14.87758000
0.06210000	14.87758000
0.06220000	14.87758000
0.06230000	14.87758000
0.06240000	14.87758000
0.06250000	13.94562000
0.06260000	13.94562000
0.06270000	14.87758000
0.06280000	13.94562000
0.06290000	13.94562000
0.06300000	13.94562000
0.06310000	14.87758000
0.06320000	13.94562000
0.06330000	13.94562000
0.06340000	13.94562000
0.06350000	14.87758000
0.06360000	13.94562000
0.06370000	14.87758000
0.06380000	13.94562000
0.06390000	14.87758000
0.06400000	13.94562000
0.06410000	14.87758000
0.06420000	14.87758000
0.06430000	14.87758000
0.06440000	14.87758000
0.06450000	14.87758000
0.06460000	14.87758000
0.06470000	14.87758000
0.06480000	14.87758000
0.06490000	14.87758000
0.06500000	14.87758000
0.06510000	14.87758000
0.06520000	14.87758000
0.06530000	14.87758000
0.06540000	14.87758000
0.06550000	14.87758000
0.06560000	14.87758000
0.06570000	14.87758000
0.06580000	14.87758000
0.06590000	14.87758000
0.06600000	14.87758000
0.06610000	14.87758000
0.06620000	14.87758000
0.06630000	14.87758000
0.06640000	14.87758000
0.06650000	14.87758000
0.06660000	14.87758000
0.06670000	14.87758000
0.06680000	14.87758000
0.06690000	14.87758000
0.06700000	14.87758000
0.06710000	14.87758000
0.06720000	14.87758000
0.06730000	14.87758000
0.06740000	14.87758000
0.06750000	14.87758000
0.06760000	14.87758000
0.06770000	14.87758000
0.06780000	14.87758000
0.06790000	14.87758000
0.06800000	13.94562000
0.06810000	13.94562000
0.06820000	14.87758000
0.06830000	14.87758000
0.06840000	13.94562000
0.06850000	13.94562000
0.06860000	13.94562000
0.06870000	13.94562000
0.06880000	13.94562000
0.06890000	13.94562000
0.06900000	13.94562000
0.06910000	13.94562000
0.06920000	13.94562000
0.06930000	13.94562000
0.06940000	14.87758000
0.06950000	13.94562000
0.06960000	14.87758000
0.06970000	13.94562000
0.06980000	13.94562000
0.06990000	13.94562000
0.07000000	13.94562000
0.07010000	13.94562000
0.07020000	13.94562000
0.07030000	13.94562000
0.07040000	13.94562000
0.07050000	13.94562000
0.07060000	13.94562000
0.07070000	13.94562000
0.07080000	13.94562000
0.07090000	13.94562000
0.07100000	13.94562000
0.07110000	13.94562000
0.07120000	13.94562000
0.07130000	13.94562000
0.07140000	13.94562000
0.07150000	13.94562000
0.07160000	13.94562000
0.07170000	13.94562000
0.07180000	13.94562000
0.07190000	13.94562000
0.07200000	13.94562000
0.07210000	13.94562000
0.07220000	13.94562000
0.07230000	13.94562000
0.07240000	13.94562000
0.07250000	13.94562000
0.07260000	13.94562000
0.07270000	13.94562000
0.07280000	13.94562000
0.07290000	13.94562000
0.07300000	13.94562000
0.07310000	13.94562000
0.07320000	13.94562000
0.07330000	13.94562000
0.07340000	13.94562000
0.07350000	13.94562000
0.07360000	13.94562000
0.07370000	13.94562000
0.07380000	13.94562000
0.07390000	13.94562000
0.07400000	13.94562000
0.07410000	13.94562000
0.07420000	13.94562000
0.07430000	13.94562000
0.07440000	13.94562000
0.07450000	13.94562000
0.07460000	13.94562000
0.07470000	13.94562000
0.07480000	13.94562000
0.07490000	13.94562000
0.07500000	13.94562000
0.07510000	13.94562000
0.07520000	13.94562000
0.07530000	13.94562000
0.07540000	13.94562000
0.07550000	13.94562000
0.07560000	13.94562000
0.07570000	13.94562000
0.07580000	13.94562000
0.07590000	13.94562000
0.07600000	13.94562000
0.07610000	13.94562000
0.07620000	13.94562000
0.07630000	13.94562000
0.07640000	13.94562000
0.07650000	13.94562000
0.07660000	13.94562000
0.07670000	13.94562000
0.07680000	13.94562000
0.07690000	13.94562000
0.07700000	13.94562000
0.07710000	13.94562000
0.07720000	13.94562000
0.07730000	13.94562000
0.07740000	13.94562000
0.07750000	13.94562000
0.07760000	13.94562000
0.07770000	13.94562000
0.07780000	13.94562000
0.07790000	13.94562000
0.07800000	13.94562000
0.07810000	13.94562000
0.07820000	13.94562000
0.07830000	13.01673000
0.07840000	13.94562000
0.07850000	13.01673000
0.07860000	13.01673000
0.07870000	13.94562000
0.07880000	13.01673000
0.07890000	13.01673000
0.07900000	13.01673000
0.07910000	13.01673000
0.07920000	13.01673000
0.07930000	13.01673000
0.07940000	13.01673000
0.07950000	13.94562000
0.07960000	13.01673000
0.07970000	13.01673000
0.07980000	13.01673000
0.07990000	13.01673000
0.08000000	13.01673000
0.08010000	13.01673000
0.08020000	13.01673000
0.08030000	13.01673000
0.08040000	13.01673000
0.08050000	13.01673000
0.08060000	13.01673000
0.08070000	13.94562000
0.08080000	13.94562000
0.08090000	13.01673000
0.08100000	13.01673000
0.08110000	13.94562000
0.08120000	13.01673000
0.08130000	13.94562000
0.08140000	13.01673000
0.08150000	13.01673000
0.08160000	13.94562000
0.08170000	13.94562000
0.08180000	13.94562000
0.08190000	13.94562000
0.08200000	13.94562000
0.08210000	13.94562000
0.08220000	13.94562000
0.08230000	13.94562000
0.08240000	13.94562000
0.08250000	13.94562000
0.08260000	13.94562000
0.08270000	13.94562000
0.08280000	13.94562000
0.08290000	13.94562000
0.08300000	13.94562000
0.08310000	13.94562000
0.08320000	13.94562000
0.08330000	13.94562000
0.08340000	13.94562000
0.08350000	13.94562000
0.08360000	13.94562000
0.08370000	13.94562000
0.08380000	13.94562000
0.08390000	13.94562000
0.08400000	13.94562000
0.08410000	13.94562000
0.08420000	13.94562000
0.08430000	13.94562000
0.08440000	13.94562000
0.08450000	13.94562000
0.08460000	13.94562000
0.08470000	13.94562000
0.08480000	13.94562000
0.08490000	13.94562000
0.08500000	13.94562000
0.08510000	13.94562000
0.08520000	13.94562000
0.08530000	13.94562000
0.08540000	13.94562000
0.08550000	13.94562000
0.08560000	13.94562000
0.08570000	13.94562000
0.08580000	13.94562000
0.08590000	13.94562000
0.08600000	13.94562000
0.08610000	13.94562000
0.08620000	13.94562000
0.08630000	13.94562000
0.08640000	13.94562000
0.08650000	13.94562000
0.08660000	13.94562000
0.08670000	13.94562000
0.08680000	13.94562000
0.08690000	13.94562000
0.08700000	13.94562000
0.08710000	13.94562000
0.08720000	13.94562000
0.08730000	14.87758000
0.08740000	13.94562000
0.08750000	13.94562000
0.08760000	14.87758000
0.08770000	14.87758000
0.08780000	14.87758000
0.08790000	14.87758000
0.08800000	14.87758000
0.08810000	14.87758000
0.08820000	13.94562000
0.08830000	14.87758000
0.08840000	14.87758000
0.08850000	14.87758000
0.08860000	14.87758000
0.08870000	14.87758000
0.08880000	14.87758000
0.08890000	14.87758000
0.08900000	14.87758000
0.08910000	14.87758000
0.08920000	14.87758000
0.08930000	14.87758000
0.08940000	14.87758000
0.08950000	14.87758000
0.08960000	14.87758000
0.08970000	14.87758000
0.08980000	14.87758000
0.08990000	14.87758000
0.09000000	14.87758000
0.09010000	14.87758000
0.09020000	14.87758000
0.09030000	15.80647000
0.09040000	14.87758000
0.09050000	14.87758000
0.09060000	14.87758000
0.09070000	14.87758000
0.09080000	14.87758000
0.09090000	14.87758000
0.09100000	14.87758000
0.09110000	14.87758000
0.09120000	14.87758000
0.09130000	14.87758000
0.09140000	14.87758000
0.09150000	14.87758000
0.09160000	15.80647000
0.09170000	14.87758000
0.09180000	14.87758000
0.09190000	14.87758000
0.09200000	14.87758000
0.09210000	15.80647000
0.09220000	14.87758000
0.09230000	14.87758000
0.09240000	14.87758000
0.09250000	15.80647000
0.09260000	14.87758000
0.09270000	14.87758000
0.09280000	15.80647000
0.09290000	15.80647000
0.09300000	15.80647000
0.09310000	14.87758000
0.09320000	14.87758000
0.09330000	14.87758000
0.09340000	15.80647000
0.09350000	15.80647000
0.09360000	14.87758000
0.09370000	14.87758000
0.09380000	14.87758000
0.09390000	15.80647000
0.09400000	14.87758000
0.09410000	15.80647000
0.09420000	14.87758000
0.09430000	14.87758000
0.09440000	14.87758000
0.09450000	14.87758000
0.09460000	14.87758000
0.09470000	14.87758000
0.09480000	14.87758000
0.09490000	14.87758000
0.09500000	14.87758000
0.09510000	14.87758000
0.09520000	14.87758000
0.09530000	14.87758000
0.09540000	14.87758000
0.09550000	14.87758000
0.09560000	14.87758000
0.09570000	14.87758000
0.09580000	14.87758000
0.09590000	14.87758000
0.09600000	14.87758000
0.09610000	14.87758000
0.09620000	14.87758000
0.09630000	14.87758000
0.09640000	14.87758000
0.09650000	14.87758000
0.09660000	14.87758000
0.09670000	14.87758000
0.09680000	14.87758000
0.09690000	14.87758000
0.09700000	14.87758000
0.09710000	14.87758000
0.09720000	14.87758000
0.09730000	14.87758000
0.09740000	14.87758000
0.09750000	14.87758000
0.09760000	14.87758000
0.09770000	14.87758000
0.09780000	14.87758000
0.09790000	14.87758000
0.09800000	14.87758000
0.09810000	14.87758000
0.09820000	14.87758000
0.09830000	14.87758000
0.09840000	14.87758000
0.09850000	14.87758000
0.09860000	14.87758000
0.09870000	14.87758000
0.09880000	14.87758000
0.09890000	14.87758000
0.09900000	14.87758000
0.09910000	14.87758000
0.09920000	14.87758000
0.09930000	14.87758000
0.09940000	14.87758000
0.09950000	15.80647000
0.09960000	14.87758000
0.09970000	14.87758000
0.09980000	14.87758000
0.09990000	14.87758000
0.10000000	14.87758000
0.10010000	14.87758000
0.10020000	14.87758000
0.10030000	14.87758000
0.10040000	14.87758000
0.10050000	14.87758000
0.10060000	14.87758000
0.10070000	14.87758000
0.10080000	14.87758000
0.10090000	14.87758000
0.10100000	14.87758000
0.10110000	14.87758000
0.10120000	14.87758000
0.10130000	14.87758000
0.10140000	14.87758000
0.10150000	14.87758000
0.10160000	14.87758000
0.10170000	13.94562000
0.10180000	14.87758000
0.10190000	14.87758000
0.10200000	14.87758000
0.10210000	13.94562000
0.10220000	13.94562000
0.10230000	14.87758000
0.10240000	13.94562000
0.10250000	14.87758000
0.10260000	13.94562000
0.10270000	13.94562000
0.10280000	13.94562000
0.10290000	14.87758000
0.10300000	13.94562000
0.10310000	13.94562000
0.10320000	13.94562000
0.10330000	13.94562000
0.10340000	13.94562000
0.10350000	14.87758000
0.10360000	14.87758000
0.10370000	14.87758000
0.10380000	13.94562000
0.10390000	14.87758000
0.10400000	14.87758000
0.10410000	14.87758000
0.10420000	14.87758000
0.10430000	14.87758000
0.10440000	14.87758000
0.10450000	14.87758000
0.10460000	14.87758000
0.10470000	14.87758000
0.10480000	14.87758000
0.10490000	14.87758000
0.10500000	14.87758000
0.10510000	14.87758000
0.10520000	14.87758000
0.10530000	14.87758000
0.10540000	14.87758000
0.10550000	14.87758000
0.10560000	14.87758000
0.10570000	14.87758000
0.10580000	14.87758000
0.10590000	14.87758000
0.10600000	14.87758000
0.10610000	14.87758000
0.10620000	14.87758000
0.10630000	14.87758000
0.10640000	14.87758000
0.10650000	14.87758000
0.10660000	14.87758000
0.10670000	14.87758000
0.10680000	14.87758000
0.10690000	14.87758000
0.10700000	14.87758000
0.10710000	14.87758000
0.10720000	14.87758000
0.10730000	14.87758000
0.10740000	14.87758000
0.10750000	14.87758000
0.10760000	14.87758000
0.10770000	14.87758000
0.10780000	14.87758000
0.10790000	14.87758000
0.10800000	14.87758000
0.10810000	14.87758000
0.10820000	14.87758000
0.10830000	14.87758000
0.10840000	14.87758000
0.10850000	14.87758000
0.10860000	14.87758000
0.10870000	14.87758000
0.10880000	14.87758000
0.10890000	14.87758000
0.10900000	14.87758000
0.10910000	14.87758000
0.10920000	14.87758000
0.10930000	14.87758000
0.10940000	14.87758000
0.10950000	14.87758000
0.10960000	14.87758000
0.10970000	14.87758000
0.10980000	14.87758000
0.10990000	14.87758000
0.11000000	14.87758000
0.11010000	15.80647000
0.11020000	14.87758000
0.11030000	14.87758000
0.11040000	14.87758000
0.11050000	14.87758000
0.11060000	14.87758000
0.11070000	15.80647000
0.11080000	14.87758000
0.11090000	14.87758000
0.11100000	14.87758000
0.11110000	14.87758000
0.11120000	14.87758000
0.11130000	14.87758000
0.11140000	15.80647000
0.11150000	14.87758000
0.11160000	14.87758000
0.11170000	14.87758000
0.11180000	14.87758000
0.11190000	14.87758000
0.11200000	14.87758000
0.11210000	15.80647000
0.11220000	15.80647000
0.11230000	15.80647000
0.11240000	15.80647000
0.11250000	15.80647000
0.11260000	14.87758000
0.11270000	14.87758000
0.11280000	15.80647000
0.11290000	14.87758000
0.11300000	14.87758000
0.11310000	14.87758000
0.11320000	14.87758000
0.11330000	14.87758000
0.11340000	14.87758000
0.11350000	14.87758000
0.11360000	14.87758000
0.11370000	14.87758000
0.11380000	14.87758000
0.11390000	14.87758000
0.11400000	15.80647000
0.11410000	14.87758000
0.11420000	14.87758000
0.11430000	14.87758000
0.11440000	14.87758000
0.11450000	14.87758000
0.11460000	14.87758000
0.11470000	14.87758000
0.11480000	14.87758000
0.11490000	15.80647000
0.11500000	14.87758000
0.11510000	15.80647000
0.11520000	14.87758000
0.11530000	15.80647000
0.11540000	14.87758000
0.11550000	14.87758000
0.11560000	15.80647000
0.11570000	15.80647000
0.11580000	15.80647000
0.11590000	15.80647000
0.11600000	15.80647000
