Tid	Kanal A
(s)	(mV)

0.00000000	7.43725300
0.00010000	7.43725300
0.00020000	7.43725300
0.00030000	7.43725300
0.00040000	7.43725300
0.00050000	7.43725300
0.00060000	7.43725300
0.00070000	7.43725300
0.00080000	7.43725300
0.00090000	7.43725300
0.00100000	7.43725300
0.00110000	7.43725300
0.00120000	7.43725300
0.00130000	7.43725300
0.00140000	7.43725300
0.00150000	7.43725300
0.00160000	7.43725300
0.00170000	7.43725300
0.00180000	7.43725300
0.00190000	7.43725300
0.00200000	7.43725300
0.00210000	7.43725300
0.00220000	7.43725300
0.00230000	7.43725300
0.00240000	7.43725300
0.00250000	7.43725300
0.00260000	7.43725300
0.00270000	7.43725300
0.00280000	7.43725300
0.00290000	7.43725300
0.00300000	7.43725300
0.00310000	7.43725300
0.00320000	7.43725300
0.00330000	7.43725300
0.00340000	7.43725300
0.00350000	7.43725300
0.00360000	7.43725300
0.00370000	7.43725300
0.00380000	7.43725300
0.00390000	7.43725300
0.00400000	7.43725300
0.00410000	7.43725300
0.00420000	7.43725300
0.00430000	7.43725300
0.00440000	7.43725300
0.00450000	7.43725300
0.00460000	8.36614100
0.00470000	7.43725300
0.00480000	8.36614100
0.00490000	7.43725300
0.00500000	7.43725300
0.00510000	7.43725300
0.00520000	7.43725300
0.00530000	7.43725300
0.00540000	7.43725300
0.00550000	7.43725300
0.00560000	7.43725300
0.00570000	7.43725300
0.00580000	7.43725300
0.00590000	7.43725300
0.00600000	7.43725300
0.00610000	7.43725300
0.00620000	7.43725300
0.00630000	7.43725300
0.00640000	7.43725300
0.00650000	7.43725300
0.00660000	7.43725300
0.00670000	7.43725300
0.00680000	7.43725300
0.00690000	7.43725300
0.00700000	8.36614100
0.00710000	7.43725300
0.00720000	7.43725300
0.00730000	7.43725300
0.00740000	7.43725300
0.00750000	7.43725300
0.00760000	7.43725300
0.00770000	7.43725300
0.00780000	7.43725300
0.00790000	8.36614100
0.00800000	7.43725300
0.00810000	7.43725300
0.00820000	7.43725300
0.00830000	8.36614100
0.00840000	8.36614100
0.00850000	8.36614100
0.00860000	8.36614100
0.00870000	7.43725300
0.00880000	7.43725300
0.00890000	8.36614100
0.00900000	8.36614100
0.00910000	7.43725300
0.00920000	8.36614100
0.00930000	8.36614100
0.00940000	8.36614100
0.00950000	8.36614100
0.00960000	7.43725300
0.00970000	8.36614100
0.00980000	8.36614100
0.00990000	8.36614100
0.01000000	8.36614100
0.01010000	8.36614100
0.01020000	7.43725300
0.01030000	7.43725300
0.01040000	8.36614100
0.01050000	7.43725300
0.01060000	8.36614100
0.01070000	8.36614100
0.01080000	8.36614100
0.01090000	7.43725300
0.01100000	7.43725300
0.01110000	7.43725300
0.01120000	7.43725300
0.01130000	7.43725300
0.01140000	7.43725300
0.01150000	8.36614100
0.01160000	7.43725300
0.01170000	7.43725300
0.01180000	8.36614100
0.01190000	7.43725300
0.01200000	7.43725300
0.01210000	7.43725300
0.01220000	7.43725300
0.01230000	7.43725300
0.01240000	7.43725300
0.01250000	7.43725300
0.01260000	7.43725300
0.01270000	7.43725300
0.01280000	8.36614100
0.01290000	8.36614100
0.01300000	7.43725300
0.01310000	7.43725300
0.01320000	7.43725300
0.01330000	7.43725300
0.01340000	7.43725300
0.01350000	7.43725300
0.01360000	8.36614100
0.01370000	7.43725300
0.01380000	7.43725300
0.01390000	7.43725300
0.01400000	8.36614100
0.01410000	7.43725300
0.01420000	7.43725300
0.01430000	7.43725300
0.01440000	8.36614100
0.01450000	7.43725300
0.01460000	7.43725300
0.01470000	8.36614100
0.01480000	7.43725300
0.01490000	7.43725300
0.01500000	8.36614100
0.01510000	8.36614100
0.01520000	7.43725300
0.01530000	8.36614100
0.01540000	7.43725300
0.01550000	7.43725300
0.01560000	8.36614100
0.01570000	8.36614100
0.01580000	8.36614100
0.01590000	8.36614100
0.01600000	8.36614100
0.01610000	8.36614100
0.01620000	7.43725300
0.01630000	7.43725300
0.01640000	8.36614100
0.01650000	7.43725300
0.01660000	8.36614100
0.01670000	8.36614100
0.01680000	8.36614100
0.01690000	7.43725300
0.01700000	8.36614100
0.01710000	8.36614100
0.01720000	8.36614100
0.01730000	8.36614100
